name,address,postcode,building_levels,apartments,latitude,longitude,osm_id,osm_type
Unnamed,,,4,,53.3575388,-6.2633486,51685753,way
Unnamed,"216-217, Custom House Harbour, Dublin",,6,,53.3507022,-6.2476443,60960231,way
Unnamed,"275-276, Custom House Harbour, Dublin",,6,,53.3506333,-6.2468022,60960412,way
"Blocks J, R","Pearse House, Dublin",,,,53.3446418,-6.2466891,78373303,way
Unnamed,"89-110, Custom House Harbour, Dublin",,6,,53.3509679,-6.2464446,84253993,way
Unnamed,"1-22, Custom House Harbour, Dublin",,6,,53.3510784,-6.2481719,88241225,way
Unnamed,"45-66, Custom House Harbour, Dublin",,6,,53.3510189,-6.2473024,88241232,way
Unnamed,"194-215, Custom House Harbour, Dublin",,6,,53.3501757,-6.2460496,88241233,way
Unnamed,"218-222, Custom House Harbour, Dublin",,6,,53.3504537,-6.2476848,88241235,way
Unnamed,"133-149, Custom House Harbour, Dublin",,6,,53.3508876,-6.2459152,88241239,way
Unnamed,"23-44, Custom House Harbour, Dublin",,6,,53.3510601,-6.2478594,88241241,way
Unnamed,"150-171, Custom House Harbour, Dublin",,6,,53.3506193,-6.2459873,88241243,way
Unnamed,"277-281, Custom House Harbour, Dublin",,6,,53.3503886,-6.2468413,88241245,way
Unnamed,"111-132, Custom House Harbour, Dublin",,6,,53.3509458,-6.2461577,88241255,way
Unnamed,"172-193, Custom House Harbour, Dublin",,6,,53.3503633,-6.2460215,88241258,way
Unnamed,"67-88, Custom House Harbour, Dublin",,6,,53.3510009,-6.246996,88241261,way
Unnamed,,,3,,53.3443738,-6.2476886,129217496,way
1-8,"Shamrock Place, Dublin",,,,53.3555516,-6.2451403,174092691,way
Unnamed,Windmill Lane,,,,53.3454335,-6.2448232,177562829,way
Markievicz House,"Townsend Street, Dublin",,4,,53.3452885,-6.2501889,177562864,way
College Gate Apartments,"Townsend Street, Dublin",,6,,53.3462171,-6.2543977,227827216,way
Number 2 Georges Quay,"2, George's Quay, Dublin",,4,,53.3472536,-6.255614,227971869,way
Unnamed,"24, Townsend Street, Dublin",,4,,53.345956,-6.2539189,228200969,way
Unnamed,"22, Luke Street",,,,53.3461076,-6.253949,228200970,way
Unnamed,"25-32, Townsend Street",,3,,53.3460293,-6.2536425,228200971,way
The Corn Exchange,"Poolbeg Street, Dublin",,7,,53.3469872,-6.2565934,228285218,way
Corn Exchange,"12, Burgh Quay, Dublin",,2,,53.3472307,-6.2565965,228285220,way
Trinity Plaza Apartments,"Tara Street, Dublin",,,,53.3456245,-6.2548198,228313893,way
Unnamed,"14, Capel Street, Dublin",,,,53.3469112,-6.2680384,228762034,way
Unnamed,"2, Capel Street, Dublin",,5,,53.3462352,-6.2677086,228762039,way
Q&M Hair and Beauty Salon,"3, Capel Street, Dublin",,5,,53.3462874,-6.2677258,228762041,way
Dublin Vintage Shop,"4, Capel Street, Dublin",,4,,53.3463424,-6.2677433,228762042,way
Real Brazil Foods,"6, Capel Street, Dublin",,4,,53.3464514,-6.2677817,228762043,way
Shauna's Pet Shop,"5, Capel Street, Dublin",,4,,53.3463965,-6.2677518,228762048,way
Unnamed,,,,,53.3469548,-6.2661863,228762055,way
Unnamed,,,,,53.3471207,-6.265104,228763220,way
Jervis Place,"Great Strand Street, Dublin",,4,,53.3466918,-6.2674136,229049443,way
Hyde Court,,,5,,53.3454924,-6.2519369,229577978,way
51-68,"51-58, Westland Square, Dublin",,,,53.3444485,-6.2472042,229577979,way
Unnamed,,,4,,53.3449973,-6.2489851,229577986,way
69-86,"69-86, Westland Square, Dublin",,,,53.3446584,-6.2473237,229577987,way
Unnamed,,,,,53.3450268,-6.2681263,230101446,way
Unnamed,"4, Parliament Street, Dublin",,5,,53.3443724,-6.2671083,230134524,way
The Forge,"Railway Street, Dublin",,,,53.353213,-6.2511974,230551393,way
The Kiln,"Railway Street, Dublin",,,,53.352971,-6.2510724,230551394,way
Unnamed,,,,,53.3530651,-6.2506349,230551395,way
Unnamed,,,,,53.3504792,-6.2550577,233489907,way
Unnamed,,,,,53.3504911,-6.2552512,233489910,way
Unnamed,Mary Street,,3,,53.3485129,-6.2678336,233622127,way
Unnamed,Mary Street,,3,,53.3485022,-6.2679067,233622130,way
Unnamed,Mary Street,,3,,53.3484915,-6.2679799,233622132,way
Unnamed,,,3,,53.3485415,-6.2675879,233622136,way
Custom Hall Block 4 (109-___),"104-138, Gardiner Street Lower",,5,,53.352536,-6.2560132,233718291,way
Custom Hall Block 3 (69-108),"69-103, Gardiner Street Lower",,5,,53.3521996,-6.2557784,233718292,way
Custom Hall Block 2 (34-68),"34-68, Gardiner Street Lower",,5,,53.3518712,-6.2555419,233718293,way
Unnamed,Sean Mac Dermott Street Upper,,5,,53.3527779,-6.2563134,233718294,way
Custom Hall Block 1 (1-33),Gardiner Street Lower,,,,53.3515682,-6.2554525,233718295,way
Unnamed,,,,,53.3472172,-6.2615145,233804853,way
Unnamed,,,4,,53.3472253,-6.2623141,233804866,way
Unnamed,"77, Marlborough Street",,,,53.3515347,-6.2590326,245000589,way
Unnamed,"78, Marlborough Street",,,,53.3514669,-6.2590046,245000590,way
Unnamed,"80, Marlborough Street, Dublin",,,,53.3513313,-6.2589488,245000592,way
Unnamed,"81, Marlborough Street, Dublin",,,,53.3512635,-6.2589208,245000593,way
Unnamed,"82, Marlborough Street, Dublin",,,,53.3511958,-6.2588929,245000594,way
Unnamed,"83, Marlborough Street, Dublin",,,,53.351128,-6.258865,245000596,way
Unnamed,"19, Mountjoy Square East",,4,,53.3574715,-6.256595,245001414,way
Unnamed,"20, Mountjoy Square East",,4,,53.3574254,-6.2565294,245001415,way
Unnamed,"21, Mountjoy Square East",,4,,53.3573586,-6.2564676,245001416,way
Unnamed,"22, Mountjoy Square East",,4,,53.3572689,-6.2564669,245001417,way
Unnamed,"23, Mountjoy Square East",,4,,53.3572417,-6.2563199,245001419,way
Unnamed,"24, Mountjoy Square East",,4,,53.3572046,-6.2562083,245001420,way
Unnamed,"25, Mountjoy Square East",,4,,53.3571291,-6.2561785,245001421,way
Unnamed,"26, Mountjoy Square East",,4,,53.3570365,-6.2560877,245001422,way
25-48,"Matt Talbot Court, Dublin",,,,53.3565227,-6.254558,245002719,way
49-72,"Matt Talbot Court, Dublin",,,,53.3566459,-6.2541351,245002721,way
1-24,"Matt Talbot Court, Dublin",,,,53.3566206,-6.2550694,245002725,way
33 Mountjoy Square,"33, Mountjoy Square East, Dublin",,,,53.3561198,-6.2552955,245002727,way
Unnamed,,,,,53.3565175,-6.2554121,245002728,way
Unnamed,,,,,53.3563846,-6.2555766,245002730,way
Unnamed,"30, Marlborough Street",,4,,53.3514139,-6.2585372,245002895,way
Unnamed,"31, Marlborough Street",,3,,53.3514844,-6.2585623,245002896,way
Unnamed,,,6,,53.3532586,-6.2531706,248987106,way
Unnamed,,,6,,53.353184,-6.2535634,248987107,way
Unnamed,"48, Middle Abbey Street, Dublin",,,,53.3478904,-6.2628469,250501865,way
Chinese Gospel Church of Dublin,"49, Middle Abbey Street, Dublin",,,,53.3477237,-6.2626846,250501866,way
Unnamed,"47, Middle Abbey Street, Dublin",,4,,53.3478791,-6.262941,250501874,way
Unnamed,"1, Parnell Square East",,4,,53.3534269,-6.2618964,250718212,way
Bolton Square,"Dominick Street Lower, Dublin",,,,53.3524762,-6.2678553,250743756,way
Unnamed,"1, Gardiner Place, Dublin",,,,53.3559763,-6.2609331,251726835,way
Fire House,"2, Gardiner Place, Dublin",,,,53.3560121,-6.26086,251726837,way
Sackville Court,"74, Blessington Street, Dublin",,6,,53.3560377,-6.2657809,252111715,way
Hardwicke Street Flats,,,,,53.3563219,-6.2633521,252111717,way
Unnamed,,,,,53.3561861,-6.2640787,252111719,way
Unnamed,,,,,53.3566316,-6.263758,252111720,way
Amiens Square (29-40),"Talbot Place, Dublin",,,,53.3508607,-6.2511813,254369225,way
"Amiens Square (1-28, 41-48)","Amiens Street, Dublin",,,,53.3508216,-6.2507117,254369227,way
Unnamed,,,6,,53.3497257,-6.2454554,256117094,way
Unnamed,"13-24, Mayor Street Lower, Dublin",,5,,53.3495005,-6.2446343,256117095,way
Unnamed,,,7,,53.34973,-6.2449689,256117096,way
"Spencer House, Custom House Square, IFSC",,,6,,53.3499595,-6.2445962,256117098,way
Unnamed,"54, Parnell Square West, Dublin",,,,53.3520876,-6.2637434,256708221,way
Unnamed,"55, Parnell Square West",,,,53.3520423,-6.26368,256708222,way
Unnamed,"57, Parnell Square West, Dublin",,,,53.3519371,-6.2635278,256708224,way
Hapenny Bridge House,"Ormond Quay Lower, Dublin",,,,53.3466205,-6.2655926,256728269,way
Unnamed,"49-50, Parnell Square West",,,,53.3522851,-6.2641059,256911797,way
Unnamed,"51, Parnell Square West, Dublin",,,,53.3522414,-6.2639538,256911798,way
Unnamed,"53, Parnell Square West",,4,,53.3521348,-6.2638119,256911800,way
Unnamed,Dame Street,,5,,53.3443422,-6.2640245,264901995,way
Aston Abbey,"10, Aston Quay, Dublin",,4,,53.3463139,-6.2609653,274036081,way
Unnamed,"9, Parliament Street, Dublin",,,,53.344612,-6.2671832,280182405,way
Unnamed,"11, Parliament Street, Dublin",,5,,53.3447164,-6.2671693,280182406,way
Unnamed,"10, Parliament Street, Dublin",,4,,53.344668,-6.2671518,280182407,way
Unnamed,"12, Parliament Street, Dublin",,5,,53.3447633,-6.2671807,280182408,way
Unnamed,"13, Parliament Street, Dublin",,5,,53.3448109,-6.2671968,280182409,way
Unnamed,"14, Parliament Street, Dublin",,5,,53.3448585,-6.2672193,280182410,way
Unnamed,"15, Parliament Street",,5,,53.3449129,-6.2672365,280182411,way
Unnamed,"2, Parnell Square East",,4,,53.3535254,-6.2619707,281142258,way
Irish Writers Centre,"19, Parnell Square North, Dublin",,,,53.3543455,-6.2641796,281253909,way
Unnamed,"54, Dame Street",,4,,53.344301,-6.2643882,281357147,way
Unnamed,,,3,,53.3442972,-6.264571,281357149,way
Unnamed,"55, Dame Street",,4,,53.3442864,-6.2644805,281357150,way
Unnamed,,,3,,53.3442946,-6.2647479,281357153,way
Unnamed,,,4,,53.3442924,-6.2646559,281357155,way
Unnamed,"5, Parliament Street, Dublin",,5,,53.3444195,-6.2671173,281652281,way
Unnamed,"7, Parliament Street, Dublin",,5,,53.3445211,-6.2671222,281652283,way
Unnamed,,,3,,53.3460741,-6.2621825,281688576,way
Unnamed,,,5,,53.3470216,-6.2656754,282634593,way
Unnamed,"Sean Mac Dermott Street Lower, Dublin",,7,,53.353007,-6.2549327,289866530,way
Aldborough Court,"North Strand Road, Dublin",,,,53.355178,-6.2467953,289868623,way
