entity_id,entity_name,legal_name,sector,sub_sector,parent_organization,property_manager,address_line_1,city,state,zip_code,latitude,longitude,asset_status,verification_source,last_updated
OSM-IMP-00001,Cairnes Business School,Cairnes Business School,Education,University,Unknown,Unknown,Needs Verification,,,,53.2840636,-9.065571,Active,OpenStreetMap,2025-11-24
OSM-IMP-00002,Carlow District Hospital,Carlow District Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,52.8426218,-6.928817,Active,OpenStreetMap,2025-11-24
OSM-IMP-00003,Castlecomer District Hospital,Castlecomer District Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,52.7994462,-7.2140078,Active,OpenStreetMap,2025-11-24
OSM-IMP-00004,Limerick School of Art and Design (LIT),Limerick School of Art and Design (LIT),Education,University,Technological University of the Shannon: Midlands Midwest,Unknown,Clare Street,Limerick,,,52.6655266,-8.613216,Active,OpenStreetMap,2025-11-24
OSM-IMP-00005,Saint Patrick's College Maynooth and Pontifical University,Saint Patrick's College Maynooth and Pontifical University,Education,University,Unknown,Unknown,Needs Verification,,,,53.3792776,-6.5965802,Active,OpenStreetMap,2025-11-24
OSM-IMP-00006,Raheen Community Hostpital,Raheen Community Hostpital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,52.8938853,-8.507698,Active,OpenStreetMap,2025-11-24
OSM-IMP-00007,Rock Mills Student Accomodation,Rock Mills Student Accomodation,Education,University,Unknown,Unknown,Needs Verification,,,,55.0079063,-7.3192382,Active,OpenStreetMap,2025-11-24
OSM-IMP-00008,Saint Anne's,Saint Anne's,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,51.942225,-10.2342926,Active,OpenStreetMap,2025-11-24
OSM-IMP-00010,Waterside Hospital,Waterside Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,55.0135559,-7.2804733,Active,OpenStreetMap,2025-11-24
OSM-IMP-00011,Lakeview,Lakeview,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,55.0153949,-7.2826835,Active,OpenStreetMap,2025-11-24
OSM-IMP-00012,Hampstead Private Hospital,Hampstead Private Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.3815153,-6.2596772,Active,OpenStreetMap,2025-11-24
OSM-IMP-00013,Beacon Hospital,Beacon Hospital,Healthcare,Hospital,Unknown,Unknown,Blackthorn Road,,,,53.2767042,-6.2188689,Active,OpenStreetMap,2025-11-24
OSM-IMP-00014,Lifford Community Hospital,Lifford Community Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,54.831272,-7.483232,Active,OpenStreetMap,2025-11-24
OSM-IMP-00015,Schull Community Hospital,Schull Community Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,51.5212776,-9.5459225,Active,OpenStreetMap,2025-11-24
OSM-IMP-00016,Boston College - Ireland,Boston College - Ireland,Education,University,Boston College,Unknown,42 St. Stephen's Green,Dublin,,,53.3382439,-6.2553677,Active,OpenStreetMap,2025-11-24
OSM-IMP-00018,Celbridge Medical Center,Celbridge Medical Center,Healthcare,Hospital,Health Service Executive,Unknown,Needs Verification,,,,53.3448193,-6.5409696,Active,OpenStreetMap,2025-11-24
OSM-IMP-00019,Kimmage Development Studies Centre - closed,Kimmage Development Studies Centre - closed,Education,University,Unknown,Unknown,Whitehall Road,Dublin,,D12 P5YP,53.3085321,-6.3086178,Active,OpenStreetMap,2025-11-24
OSM-IMP-00020,Merriman House,Merriman House,Education,University,Limerick Institute of Technology,Unknown,Needs Verification,,,,52.6660838,-8.6187924,Active,OpenStreetMap,2025-11-24
OSM-IMP-00021,Georgia Southern University Wexford Campus,Georgia Southern University Wexford Campus,Education,University,Center for Irish Research and Teaching of Georgia Southern University,Unknown,Spawell Road,Wexford,,,52.341917,-6.4686057,Active,OpenStreetMap,2025-11-24
OSM-IMP-00022,South East Technological University - Granary Campus,South East Technological University - Granary Campus,Education,University,South East Technnological University,Unknown,Hanover Street,Waterford,,X91 FF86,52.2626245,-7.1152567,Active,OpenStreetMap,2025-11-24
OSM-IMP-00023,Covid 19 test centre,Covid 19 test centre,Healthcare,Hospital,Health Service Executive,Unknown,Needs Verification,,,,51.922856,-8.4847197,Active,OpenStreetMap,2025-11-24
OSM-IMP-00025,"Mater Private Network, Day Hospital","Mater Private Network, Day Hospital",Healthcare,Hospital,Unknown,Unknown,Cherrywood Business Park,Co. Dublin,,D18 DH50,53.2416161,-6.1406136,Active,OpenStreetMap,2025-11-24
OSM-IMP-00026,South East Technological University - Wicklow County Campus,South East Technological University - Wicklow County Campus,Education,University,South East Technological University,Unknown,Clermont House,"Rathnew, Co. Wicklow",,A67 X566,52.9992823,-6.0816968,Active,OpenStreetMap,2025-11-24
OSM-IMP-00027,South East Technological University - South Sports Campus,South East Technological University - South Sports Campus,Education,University,South East Technological University,Unknown,Mortarstown Upper,Carlow,,R93 AYW9,52.8162856,-6.944646,Active,OpenStreetMap,2025-11-24
OSM-IMP-00028,South East Technological University - Kilkenny Road Campus,South East Technological University - Kilkenny Road Campus,Education,University,South East Technological University,Unknown,Kilkenny Road,Carlow,,R93 V960,52.8269383,-6.9360647,Active,OpenStreetMap,2025-11-24
OSM-IMP-00029,South East Technological University - Kilkenny Research & Innovation Centre,South East Technological University - Kilkenny Research & Innovation Centre,Education,University,South East Technological University,Unknown,Needs Verification,Kilkenny,,R95 TP64,52.6464003,-7.2574785,Active,OpenStreetMap,2025-11-24
OSM-IMP-00030,South East Technological University - College Street Campus,South East Technological University - College Street Campus,Education,University,South East Technological University,Unknown,College Street,Waterford,,X91 Y074,52.2540847,-7.1156349,Active,OpenStreetMap,2025-11-24
OSM-IMP-00031,South East Technological University - Applied Technology Campus,South East Technological University - Applied Technology Campus,Education,University,South East Technological University,Unknown,IDA Industrial Estate,Waterford,,X91 TX03,52.2469626,-7.1453205,Active,OpenStreetMap,2025-11-24
OSM-IMP-00032,Mater Private Hospital,Mater Private Hospital,Healthcare,Hospital,Unknown,Unknown,Malahide Road,Dublin,,D17 AY61,53.4041222,-6.1815316,Active,OpenStreetMap,2025-11-24
OSM-IMP-00033,QUB School of Psychology,QUB School of Psychology,Education,University,Unknown,Unknown,Needs Verification,,,,54.5811596,-5.9378378,Active,OpenStreetMap,2025-11-24
OSM-IMP-00034,Elmwood One (QUB Student union),Elmwood One (QUB Student union),Education,University,Unknown,Unknown,Needs Verification,,,,54.5846599,-5.9369263,Active,OpenStreetMap,2025-11-24
OSM-IMP-00035,UCC Geology Garden,UCC Geology Garden,Education,University,Unknown,Unknown,Needs Verification,,,,51.8993045,-8.4876999,Active,OpenStreetMap,2025-11-24
OSM-IMP-00036,Champlain College Dublin,Champlain College Dublin,Education,University,Champlain College Incorporated,Unknown,43 Leeson Street Lower,Dublin,,,53.3331038,-6.2541389,Active,OpenStreetMap,2025-11-24
OSM-IMP-00037,MTU Crawford College of Art & Design - Department of Media Communications,MTU Crawford College of Art & Design - Department of Media Communications,Education,University,Munster Technological University,Unknown,Needs Verification,,,,51.895108,-8.4754049,Active,OpenStreetMap,2025-11-24
OSM-IMP-00038,Technological University of the Shannon: Coonagh Campus,Technological University of the Shannon: Coonagh Campus,Education,University,Technological University of the Shannon,Unknown,Needs Verification,,,,52.676706,-8.6760942,Active,OpenStreetMap,2025-11-24
OSM-IMP-00039,Macular Clinic,Macular Clinic,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,54.6079957,-5.9394996,Active,OpenStreetMap,2025-11-24
OSM-IMP-00040,Union Theological College,Union Theological College,Education,University,Unknown,Unknown,Needs Verification,,,,54.5851016,-5.9314294,Active,OpenStreetMap,2025-11-24
OSM-IMP-00041,Ulster Hospital,Ulster Hospital,Healthcare,Hospital,South Eastern Health and Social Care Trust,Unknown,Upper Newtownards Road,Belfast,,BT16 1RH,54.5970115,-5.8116589,Active,OpenStreetMap,2025-11-24
OSM-IMP-00042,Connolly Hospital,Connolly Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Mill Road,Blanchardstown,,D15X40D,53.3891627,-6.3675115,Active,OpenStreetMap,2025-11-24
OSM-IMP-00043,Beaumont Hospital,Beaumont Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Needs Verification,,,,53.3892595,-6.2240645,Active,OpenStreetMap,2025-11-24
OSM-IMP-00044,Royal Hospital Donnybrook,Royal Hospital Donnybrook,Healthcare,Hospital,Unknown,Unknown,Bloomfield Avenue,,,,53.3250732,-6.2480404,Active,OpenStreetMap,2025-11-24
OSM-IMP-00045,St Luke's Hospital,St Luke's Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.3092427,-6.2674243,Active,OpenStreetMap,2025-11-24
OSM-IMP-00046,Lucena Clinic & St Peter's School,Lucena Clinic & St Peter's School,Healthcare,Hospital,Order of St. John of God,Unknown,59 Orwell Road,Dublin,,,53.3102672,-6.2710269,Active,OpenStreetMap,2025-11-24
OSM-IMP-00047,Clonskeagh Hospital,Clonskeagh Hospital,Healthcare,Hospital,Unknown,Unknown,Clonskeagh Road,,,,53.3153826,-6.2400815,Active,OpenStreetMap,2025-11-24
OSM-IMP-00048,UCD Richview,UCD Richview,Education,University,Unknown,Unknown,Needs Verification,,,,53.3110416,-6.2353682,Active,OpenStreetMap,2025-11-24
OSM-IMP-00049,Saint Joseph's Hospital,Saint Joseph's Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.3877734,-6.4319244,Active,OpenStreetMap,2025-11-24
OSM-IMP-00050,Ards Hospital,Ards Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,54.5938304,-5.7055973,Active,OpenStreetMap,2025-11-24
OSM-IMP-00051,University Hospital Galway,University Hospital Galway,Healthcare,Hospital,Health Service Executive,Unknown,Newcastle Road,Galway,,,53.2770606,-9.0668613,Active,OpenStreetMap,2025-11-24
OSM-IMP-00052,TU Dublin Aeronautical Engineering,TU Dublin Aeronautical Engineering,Education,University,Unknown,Unknown,Needs Verification,Cloghran,,,53.4263374,-6.2228712,Active,OpenStreetMap,2025-11-24
OSM-IMP-00053,Merlin Park University Hospital,Merlin Park University Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Needs Verification,,,,53.2779979,-8.9952606,Active,OpenStreetMap,2025-11-24
OSM-IMP-00054,Cherry Orchard Hospital,Cherry Orchard Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Ballyfermot Road,,,,53.3430617,-6.3779167,Active,OpenStreetMap,2025-11-24
OSM-IMP-00055,University College Cork Main Campus,University College Cork Main Campus,Education,University,University College Cork,Unknown,College Road,Cork,,T12 K8AF,51.8936015,-8.4929321,Active,OpenStreetMap,2025-11-24
